Cluster,Analysis,Backdoor,Bot,DDoS,DoS,DoS GoldenEye,DoS Hulk,DoS SlowHTTPTest,DoS Slowloris,Exploits,FTP Patator,Fuzzers,Generic,Heartbleed,Infiltration,Normal,Port Scan,Reconnaissance,SSH Patator,Shellcode,Web Attack - Brute Force,Web Attack - SQL Injection,Web Attack - XSS,Worms
Cluster 301,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,92,0,0,0,0,0,0
Cluster 302,0,0,0,0,0,0,1525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 303,0,0,0,0,7,0,0,0,0,43,0,0,111,0,0,0,0,0,0,0,0,0,0,0
Cluster 304,0,0,0,0,0,0,0,0,0,0,0,2750,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 305,0,0,0,2813,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Cluster 306,0,0,0,0,0,0,0,0,0,0,0,0,0,2070,0,0,0,0,0,0,0,0,0,0
Cluster 307,0,0,0,0,0,0,4288,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Cluster 308,0,0,0,0,0,0,0,0,0,2,0,0,453,0,0,0,0,0,0,0,0,0,0,0
Cluster 309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2909,0,0,0,0,0
Cluster 31,0,0,0,1739,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Cluster 310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,619,0,0,0,0,0
Cluster 311,0,0,0,0,0,0,0,0,0,2181,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4567,0,0,0,0,0,0,0,0
Cluster 313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2058,0,0,0,0,0,0,0,0
Cluster 314,0,0,0,0,0,0,0,0,0,0,0,3876,0,0,0,26,0,0,0,0,0,0,0,0
Cluster 315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5397,0,0,0,0,0,0,0,0
Cluster 316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,896,0,0,0,0,0
Cluster 317,0,0,0,2312,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cluster 318,0,0,0,0,0,0,0,0,0,871,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 319,0,0,0,6062,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0
Cluster 32,0,0,0,0,1314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 320,0,0,0,0,0,0,0,0,0,0,0,1180,0,0,0,1,0,0,0,0,0,0,0,0
Cluster 321,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,775,0,0,0,0,0
Cluster 322,0,0,0,0,0,0,0,0,0,1,0,0,457,0,0,0,0,0,0,0,0,0,0,0
Cluster 323,0,0,0,0,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2279,0,0,0,0,0,0,0,0
Cluster 325,0,0,0,0,0,0,7726,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cluster 326,0,0,0,0,0,0,0,0,0,0,0,0,0,867,0,0,0,0,0,0,0,0,0,0
Cluster 327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,683,0,0,0,0,0
Cluster 328,0,0,0,0,0,0,656,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Cluster 329,0,0,0,0,3,0,0,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 33,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6550,0,0,0,0,0,0
Cluster 330,0,0,0,0,10,0,0,0,0,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1329,0,0,0,0,0,0,0,0,0
Cluster 332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2924,1,0,0,0,0,0,0,0,0
Cluster 333,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6518,0,0,0,0,0,0,0,0
Cluster 335,0,0,0,0,25,0,0,0,0,213,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cluster 336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,358,0,0,0,0,0,0,0
Cluster 337,0,0,0,0,1,0,0,0,0,0,0,17,70,0,0,0,0,0,0,0,0,0,0,0
Cluster 338,0,0,0,0,0,0,10124,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cluster 339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3442,0,0,0,0,0,0,0,0
Cluster 34,0,0,0,1151,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
Cluster 340,159,0,0,0,1,0,0,0,0,4,0,9,17,0,0,1,0,0,0,0,0,0,0,0
Cluster 341,0,0,0,0,0,0,2318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2479,0,0,0,0,0,0,0,0
Cluster 343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5835,0,0,0,0,0,0,0,0
Cluster 344,0,0,0,0,0,0,0,0,0,0,0,0,261,0,0,0,0,0,0,0,0,0,0,0
Cluster 345,0,0,0,0,594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 346,0,0,0,0,0,1923,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 347,0,0,0,0,0,0,0,1324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 348,0,0,0,0,7,0,0,0,0,82,0,0,5,0,0,0,0,0,0,0,0,0,0,0
Cluster 349,0,0,0,0,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 35,0,0,0,0,0,0,14656,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Cluster 350,0,0,0,0,1071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 351,0,0,0,2210,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
Cluster 352,0,0,0,1751,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
Cluster 353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,838,0,0,0,0,0
Cluster 354,0,0,0,0,0,0,0,0,0,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 355,0,0,0,0,0,0,4422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3444,0,0,0,0,0,0,0,0
Cluster 357,0,0,0,0,0,0,0,0,0,0,0,0,564,0,0,0,0,0,0,0,0,0,0,0
Cluster 358,0,0,0,0,0,0,3248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 359,0,0,0,0,2,0,0,0,0,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 36,0,0,0,0,0,0,1760,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cluster 360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2750,0,0,0,0,0
Cluster 361,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cluster 362,0,0,0,0,0,0,0,0,0,0,0,0,0,8146,0,0,0,0,0,0,0,0,0,0
Cluster 363,0,0,0,0,0,0,0,0,537,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cluster 364,0,0,0,0,0,0,1236,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cluster 365,0,0,0,0,0,904,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cluster 366,0,0,0,0,0,2387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 367,0,0,0,3152,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0
Cluster 368,0,0,0,0,0,0,5436,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Cluster 369,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,186,0,0,0,0,0,0
Cluster 37,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,247,0,0,0,0,0,0,0
Cluster 370,0,0,0,0,0,0,0,0,0,0,0,0,674,0,0,0,0,0,0,0,0,0,0,0
Cluster 371,0,0,0,1,211,0,0,0,0,14,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Cluster 372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3277,0,0,0,0,0
Cluster 373,0,0,0,0,558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 374,0,0,0,1978,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
Cluster 375,0,0,0,0,0,0,0,0,0,439,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 376,0,0,0,0,552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 377,0,0,0,0,0,0,5044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4400,0,0,0,0,0,0,0,0
Cluster 379,0,0,0,0,0,0,0,0,0,0,0,0,232,0,0,0,0,0,0,0,0,0,0,0
Cluster 38,0,0,0,0,0,0,0,0,0,0,0,0,438,0,0,0,0,0,0,0,0,0,0,0
Cluster 380,0,0,0,0,0,0,10468,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Cluster 381,0,0,0,0,263,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2166,0,0,0,0,0
Cluster 383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,0,0,0,0,0,0,0,0
Cluster 384,0,0,0,0,822,0,0,0,0,0,0,0,0,0,0,0,0,5141,0,0,0,0,0,0
Cluster 385,0,0,0,0,1,0,0,0,0,2,0,0,365,0,0,0,0,0,0,0,0,0,0,0
Cluster 386,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,471
Cluster 387,0,0,0,0,123,0,0,0,0,45,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cluster 388,0,0,0,0,0,0,0,0,0,0,1188,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 389,0,0,0,0,1,0,0,0,0,2,0,0,120,0,0,1,0,0,0,0,0,0,0,0
Cluster 39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,0,0,0,0,0,0,0,0
Cluster 390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,807,0,0,0,0,0,0,0,0
Cluster 391,0,0,0,0,1,0,0,0,0,0,0,471,0,0,0,1,0,0,0,0,0,0,0,0
Cluster 392,0,0,0,0,0,0,0,867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 393,0,0,0,0,0,0,3449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 394,0,0,0,0,0,0,0,0,562,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
Cluster 395,0,0,0,0,684,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 396,0,0,0,0,0,0,0,0,0,0,0,0,0,4633,0,0,0,0,0,0,0,0,0,0
Cluster 397,0,0,0,0,0,0,0,0,0,5,0,0,477,0,0,0,0,0,0,0,0,0,0,0
Cluster 398,0,0,0,0,986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 399,0,0,0,0,0,0,0,0,644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2737,0,0,0,0,0
Cluster 40,0,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 400,0,0,0,0,770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 401,0,0,0,0,0,0,0,0,0,0,0,0,286,0,0,0,0,0,0,0,0,0,0,0
Cluster 402,0,0,0,0,0,0,3558,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cluster 403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1670,0,0,0,0,0
Cluster 404,0,0,0,0,290,0,0,0,0,0,0,0,0,0,0,0,0,1615,0,0,0,0,0,0
Cluster 405,0,0,0,0,0,0,9289,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Cluster 406,0,0,0,0,1048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,887,0,0,0,0,0
Cluster 408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1230,0,0,0,0,0
Cluster 409,0,0,0,4492,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
Cluster 41,0,0,0,0,0,0,0,0,0,1872,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 410,0,0,0,0,872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 411,0,0,0,0,0,0,0,0,0,1194,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1427,0,0,0
Cluster 413,0,0,0,3175,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
Cluster 414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3715,0,0,0,0,0,0,0,0
Cluster 415,0,0,0,0,0,0,0,0,0,0,1200,0,0,0,0,4,0,0,0,0,0,0,0,0
Cluster 416,0,0,0,0,0,0,6379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 417,0,0,0,0,0,0,0,0,0,0,0,0,0,7758,0,0,0,0,0,0,0,0,0,0
Cluster 418,0,0,0,0,0,0,0,0,0,0,0,0,313,0,0,0,0,0,0,0,0,0,0,0
Cluster 419,0,0,0,0,18,0,0,0,0,10,0,0,82,0,0,0,0,0,0,0,0,0,0,0
Cluster 42,0,0,0,0,0,0,11492,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Cluster 420,0,0,0,0,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 421,0,0,0,0,0,0,0,0,0,1356,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 422,0,0,0,0,1011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 423,0,0,0,0,3851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 424,0,0,0,0,0,0,1253,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Cluster 425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,936,0,0,0,0,0
Cluster 426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2075,0,0,0,0,0,0,0,0
Cluster 427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399,0,0,0,0,0,0,0,0
Cluster 428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1076
Cluster 429,0,0,0,0,0,0,2,0,0,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 43,0,0,0,0,0,0,0,0,0,0,0,0,2154,0,0,0,0,0,0,0,0,0,0,0
Cluster 430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949,0,0,0,0,0,0,0,0
Cluster 431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,0,0,0,0,0
Cluster 432,0,0,0,0,0,0,15532,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Cluster 433,0,0,0,0,1602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 434,0,0,0,0,0,0,0,0,0,3747,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3151,0,0,0,0,0,0,0,0
Cluster 436,0,0,0,0,1526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1299,0,0,0,0,0,0,0,0
Cluster 438,0,0,0,0,127,0,0,0,0,15,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Cluster 439,0,0,0,0,0,0,0,0,0,0,0,0,0,4968,0,0,0,0,0,0,0,0,0,0
Cluster 44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2128,0,0,0,0,0,0,0,0
Cluster 440,0,0,0,3601,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
Cluster 441,0,0,0,0,0,0,0,0,0,0,282,0,0,0,0,11,0,0,0,0,0,0,0,0
Cluster 442,0,0,0,0,0,0,14562,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Cluster 443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2110,0,0,0,0,0,0,0,0
Cluster 444,0,0,0,0,0,0,0,0,0,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 445,0,0,0,0,0,0,0,0,0,0,0,0,1783,0,0,0,0,0,0,0,0,0,0,0
Cluster 446,0,0,0,0,1,0,0,0,0,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 447,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,315,0,0,0,0,0,0
Cluster 448,0,0,0,4085,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Cluster 449,0,0,0,0,0,0,2804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 45,0,0,0,0,2,0,0,0,0,170,0,0,9,0,0,0,0,0,0,0,0,0,0,0
Cluster 450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,583,0,0,0,0,0
Cluster 451,0,0,0,0,570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,827,0,0,0,0,0,0,0,0
Cluster 453,0,0,0,0,304,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Cluster 454,0,0,0,0,0,0,3171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 455,0,0,0,0,0,0,0,0,0,0,1263,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136
Cluster 457,0,0,0,0,0,0,0,0,0,0,0,364,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 458,0,0,0,0,56,0,0,0,0,89,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Cluster 459,0,0,0,0,0,0,4701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 46,0,0,0,3064,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
Cluster 460,0,0,0,2029,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Cluster 461,0,0,0,0,0,0,0,0,0,9,0,0,108,0,0,0,0,0,0,0,0,0,0,0
Cluster 462,0,0,0,0,0,0,0,0,0,557,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 463,0,0,0,0,0,0,2095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 464,0,0,0,0,4,0,0,0,0,138,0,0,16,0,0,0,0,0,0,0,0,0,0,0
Cluster 465,0,0,0,0,0,0,0,0,0,0,0,0,2347,0,0,0,0,0,0,0,0,0,0,0
Cluster 466,0,0,0,0,1,0,0,575,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0
Cluster 467,0,0,0,0,0,0,3084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0
Cluster 469,0,0,0,0,0,0,0,0,0,0,1337,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1955,0,0,0,0,0
Cluster 470,0,0,0,0,0,0,0,0,0,918,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 471,0,0,0,0,0,0,3570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 472,0,0,0,0,0,0,473,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
Cluster 473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,804,0,0,0,0,0
Cluster 474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2724,0,0,0,0,0,0,0,0
Cluster 475,0,0,0,0,0,0,3330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 476,0,0,0,0,0,0,790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4322,0,0,0,0,0,0,0,0
Cluster 478,0,0,0,0,711,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 479,0,0,0,0,0,0,4041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3738,0,0,0,0,0,0,0,0
Cluster 480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1196,0,0,0,0,0
Cluster 481,0,0,0,0,0,1649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 482,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 483,0,0,0,0,609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 484,0,0,0,0,108,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1293,0,0,0,0,0,0,0,0
Cluster 486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3270,0,0,0,0,0,0,0,0
Cluster 487,0,0,0,0,0,0,0,0,0,0,1601,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 488,0,0,0,0,0,0,0,0,0,556,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 489,0,0,0,0,0,0,0,0,0,8,0,0,269,0,0,0,0,0,0,0,0,0,0,0
Cluster 49,0,0,0,0,1867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 490,0,0,0,0,0,0,0,0,0,4,0,47,12,0,0,1,0,1,0,0,0,0,0,0
Cluster 491,0,0,0,0,0,0,0,0,0,0,0,1295,0,0,0,1,0,0,0,0,0,0,0,0
Cluster 492,0,0,0,0,0,0,6253,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Cluster 493,0,0,0,0,3,0,0,0,0,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 494,0,0,0,0,552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 495,0,0,0,0,0,0,1728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1784,0,0,0,0,0,0,0,0
Cluster 497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,0,0,0,0,0,0,0,0
Cluster 498,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0
Cluster 499,0,0,0,0,0,0,0,0,0,1,0,0,681,0,0,0,0,0,0,0,0,0,0,0
Cluster 5,0,0,0,0,0,0,0,0,0,1926,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 50,0,0,0,0,1,0,0,0,0,244,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Cluster 500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2268,0,0,0,0,0,0,0,0
Cluster 501,0,0,0,0,0,0,9139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2385,0,0,0,0,0,0,0,0
Cluster 503,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1197,0,0,0,0,0,0
Cluster 504,0,0,0,0,0,0,3733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 505,0,0,0,0,0,0,3171,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Cluster 506,0,0,0,0,0,0,11102,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Cluster 507,0,0,0,0,1031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 508,0,0,0,0,0,0,0,0,0,0,827,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,662,0
Cluster 51,0,0,0,4721,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
Cluster 510,0,0,0,0,439,0,0,0,0,0,0,0,0,0,0,0,0,2835,0,0,0,0,0,0
Cluster 511,0,0,0,0,0,0,0,0,0,0,1511,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 512,0,0,0,0,0,1079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,838,0,0,0,0,0
Cluster 514,0,0,0,0,0,0,0,0,0,10,0,696,0,0,0,2,0,0,0,0,0,0,0,0
Cluster 515,0,0,0,0,0,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 52,0,0,0,0,523,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 53,0,0,0,0,0,0,15141,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Cluster 54,0,0,0,0,0,0,4076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 55,0,0,0,3648,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0
Cluster 56,0,0,0,0,0,0,0,0,0,2,1137,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 57,0,0,0,0,0,0,0,0,0,0,0,0,0,4295,0,0,0,0,0,0,0,0,0,0
Cluster 58,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,497,0,0,0,0,0,0
Cluster 59,0,0,0,0,0,0,0,0,0,0,0,0,0,8292,0,0,0,0,0,0,0,0,0,0
Cluster 6,0,0,0,0,1230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 60,0,0,0,0,0,2491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
